pdb,lifesoaks_1d,lifesoaks_2d,lifesoaks_3d,lifesoaks_mc,lifesoaks_sc,lifesoaks_time,mapchannels_1d,mapchannels_2d,mapchannels_3d,mapchannels_mc,mapchannels_sc,mapchannels_time,unit_cell_atom
3ful,6.58701,6.04952,6.04952,2.48069,0.502329,81,6.10,5.90,5.50,2.45,0.50,45,19348
3fum,6.71481,6.05836,6.05836,2.47132,0.500442,77,6.30,5.90,5.30,2.44,0.50,45,19348
3fun,6.71804,6.36572,6.36572,2.47832,0.501854,73,6.10,5.70,5.10,2.45,0.50,45,19376
3fw0,6.63388,4.85514,4.85514,2.56631,0.518932,34,6.50,4.70,4.10,2.56,0.52,14,10436
3fxu,8.84351,5.19088,5.19088,2.89299,0.573255,91,8.70,4.90,4.70,2.66,0.54,43,17444
3fyi,20.8001,19.6474,19.6474,4.11278,0.699822,261,20.50,18.90,18.90,3.90,0.69,636,49736
3g0a,6.50457,5.52177,5.52177,2.46385,0.498928,62,5.90,5.30,5.30,2.38,0.48,22,12882
3g4f,8.55239,8.55239,8.55239,2.76212,0.553037,631,7.30,7.30,7.30,2.57,0.52,1512,101016
3g86,4.64071,3.42652,3.35043,2.33601,0.471507,187,4.30,4.30,3.30,2.26,0.46,131,34760
3gb4,9.30109,9.30109,4.45443,2.75318,0.551584,135,8.90,7.30,4.10,2.67,0.54,99,23769
3gjw,3.16297,3.16297,2.4867,2.22963,0.446289,84,2.90,2.90,2.70,2.23,0.45,31,16506
3glz,9.37468,2.70941,2.19425,2.31531,0.46678,22,9.50,2.70,2.70,2.06,0.40,6,6940
3gmc,12.2621,11.9915,11.9915,3.30034,0.625928,108,12.10,11.90,11.70,2.94,0.58,120,22920
3gmz,8.34987,4.64647,4.64647,2.40929,0.48758,63,8.70,4.70,4.30,2.35,0.48,26,14370
3gn7,2.87021,2.87021,2.52549,2.24079,0.449047,75,2.90,2.90,2.90,2.24,0.45,32,16506
3gnx,7.81339,7.23178,3.6473,2.38828,0.483073,104,7.70,6.90,3.90,2.37,0.48,61,24248
3gob,9.48504,9.48504,4.05759,2.70648,0.543847,137,8.90,7.10,3.30,2.63,0.53,95,23817
3gqa,24.7124,24.7124,17.6391,3.55916,0.65313,686,24.30,24.30,17.30,3.52,0.65,1197,80604
3gqt,5.41382,5.30264,5.30264,2.25948,0.453606,214,4.90,4.90,4.70,2.16,0.43,221,46684
3grt,6.43397,6.43397,5.13808,2.7554,0.551946,91,6.10,5.50,4.90,2.75,0.55,28,14024
3gs0,9.09278,2.61238,2.38283,2.42706,0.491332,20,8.50,2.70,2.50,2.21,0.44,6,7072
3gs4,8.90396,3.7817,2.46948,2.40718,0.48713,22,8.50,3.50,3.50,2.18,0.44,6,7044
3gs7,8.63464,2.82682,1.96758,2.27762,0.457956,22,8.10,2.90,2.90,2.07,0.41,6,7080
3gsb,8.58098,7.06829,7.06829,2.52644,0.511341,106,8.30,6.50,6.30,2.50,0.51,74,25608
3gx9,23.068,9.33021,5.6519,3.44029,0.641144,95,22.30,9.50,5.10,3.32,0.63,84,22528
3gxf,24.4394,5.69899,5.52689,3.23004,0.617786,171,23.90,6.50,5.30,3.24,0.62,178,31552
3gxo,6.99573,6.93283,6.93283,2.53509,0.513008,184,6.70,6.50,6.10,2.34,0.47,219,41184
3gyn,4.55774,3.45748,3.45748,2.33827,0.472016,171,4.30,3.90,3.30,2.25,0.45,163,34672
3h0b,8.92318,7.23036,7.23036,3.05788,0.596266,184,7.90,6.90,6.70,2.81,0.56,199,35204
3h0r,8.88524,8.81554,6.87304,2.86734,0.569438,488,8.30,8.10,6.50,2.67,0.54,676,62920
3h1y,5.01715,3.55841,2.6814,2.16836,0.430645,47,4.50,2.90,2.30,2.16,0.43,15,12004
3heo,14.6132,4.40557,2.45143,2.97534,0.585067,16,14.10,4.50,2.30,2.97,0.59,4,4800
3hep,14.9332,4.647,2.45683,3.06366,0.597028,19,14.30,4.70,2.10,3.06,0.60,4,4784
3hl8,4.54909,4.36453,4.25193,2.50877,0.5079,59,4.50,4.10,4.10,2.37,0.48,35,14816
3hp9,4.69861,4.37941,4.37941,2.39871,0.485321,48,4.30,3.90,3.70,2.25,0.45,24,14704
3i11,4.87112,4.87112,4.06619,2.38399,0.482142,22,4.50,4.30,3.90,2.26,0.46,5,6688
3ifc,14.4523,12.1628,11.7928,3.29586,0.625419,637,14.30,11.90,11.50,3.13,0.61,976,78208
3igv,4.69359,3.4086,3.37821,2.35113,0.474905,203,4.50,4.10,3.10,2.26,0.46,169,34672
3ij4,16.3635,11.9388,11.9388,4.30894,0.713487,193,16.10,11.90,11.70,3.75,0.67,263,29205
3ikd,4.77756,3.72465,2.98737,2.12678,0.419513,27,4.30,3.30,2.70,1.95,0.37,5,7044
3ikg,4.27665,3.89906,3.19938,2.1482,0.425301,24,4.10,3.50,2.90,2.00,0.38,5,7128
3inr,16.5487,6.44967,6.44967,3.21753,0.6163,117,16.10,8.70,8.50,3.13,0.61,96,24804
3int,16.6804,6.65541,6.65541,3.27458,0.622985,117,16.10,8.90,8.90,3.17,0.61,96,24680
3it6,10.1362,7.65361,7.65361,2.93556,0.579444,90,9.70,7.50,7.30,2.89,0.58,70,22752
3iuq,12.0981,5.48234,5.48234,2.98787,0.586807,458,11.90,5.30,4.70,2.89,0.57,61,21084
3ivm,12.2439,5.30255,5.30255,2.88219,0.571657,89,11.90,5.10,5.10,2.87,0.57,61,21540
3jum,5.88475,5.78549,5.78549,2.61649,0.528159,76,5.90,5.30,5.30,2.25,0.45,37,15714
3jun,5.91608,5.91608,5.81108,2.71009,0.544455,73,5.50,5.50,5.50,2.26,0.46,35,15252
3juo,6.02189,5.68569,5.68569,2.63329,0.531169,80,5.70,5.30,5.10,2.25,0.45,35,15624
3jup,5.94036,5.94036,5.6084,2.63457,0.531397,76,5.70,5.10,5.10,2.26,0.46,35,15660
3jw3,4.49299,4.49299,4.08379,2.45649,0.497426,42,4.30,4.10,3.50,2.40,0.49,13,11016
3jw5,4.41307,4.41307,4.00431,2.42406,0.490703,35,4.10,4.10,3.50,2.37,0.48,13,11032
3k14,10.1653,5.26816,5.26816,2.46479,0.499118,56,9.90,5.30,4.90,2.04,0.40,20,13636
3k2h,7.00902,7.00902,4.89517,2.60767,0.526562,35,6.90,6.50,5.10,2.57,0.52,10,8086
3k2x,10.2532,5.20574,5.20574,2.45814,0.497764,48,10.10,4.70,4.50,2.03,0.40,20,13596
3k3e,23.1496,23.1496,23.1496,4.77774,0.7416,243,22.90,22.70,22.50,4.68,0.74,476,42240
3k3h,23.4858,23.4858,23.4858,4.76924,0.741139,212,23.10,23.10,22.90,4.69,0.74,479,42432
3kco,11.9054,7.7821,7.24039,2.78772,0.557141,112,12.10,7.50,6.90,2.78,0.56,109,24432
3ke1,10.5213,4.81238,4.81238,2.4472,0.495519,48,10.30,4.30,4.30,1.98,0.38,19,13292
3kl3,6.9999,5.51519,5.51519,2.51538,0.509193,213,6.90,6.50,5.10,2.40,0.49,275,49000
3klc,4.05595,3.19859,3.19859,1.91734,0.356105,52,3.50,3.30,3.10,1.91,0.36,25,16712
3km3,6.75208,6.75208,6.75208,2.74447,0.550162,93,6.70,6.50,6.50,2.12,0.42,81,22428
3kvx,4.44337,4.44337,4.44337,2.29091,0.461103,88,4.30,3.90,2.70,2.09,0.41,45,21544
3kyb,16.5279,6.4115,6.4115,3.20959,0.615351,101,16.10,6.30,6.10,3.13,0.61,93,24908
3l3l,3.16211,3.16211,2.58992,2.24389,0.44981,88,2.90,2.90,2.70,2.24,0.45,31,16506
3l3m,3.32534,2.74096,2.74096,2.26866,0.455817,84,3.50,2.70,2.50,2.25,0.45,31,16410
3la9,3.9897,3.9897,3.9897,2.11039,0.415005,64,3.90,3.70,3.70,1.74,0.29,12,10116
3lg1,27.6177,27.6177,27.6177,4.70278,0.737481,615,26.30,26.30,26.30,5.01,0.75,3485,107160
3lj9,5.99375,5.01945,3.45205,2.69938,0.542648,19,5.90,4.70,3.30,2.70,0.54,5,6044
3ll4,9.91825,6.76173,6.76173,2.99035,0.587149,66,9.50,6.50,6.30,2.67,0.54,43,16832
3lp4,9.82497,4.7062,4.7062,2.4448,0.495023,63,10.10,4.30,4.30,2.38,0.48,26,14286
3lr0,7.87095,7.46265,7.46265,3.1802,0.611796,19,7.50,7.30,7.30,2.26,0.46,5,4962
3lr4,7.84915,7.84915,7.84915,3.05512,0.595902,20,7.70,7.50,7.50,2.53,0.52,5,5076
3lss,20.1626,20.1626,20.1626,3.60681,0.657712,990,19.90,19.70,19.50,3.39,0.64,6165,128880
3luz,5.93366,3.59762,3.59762,2.17628,0.432716,22,5.50,4.10,2.50,1.94,0.37,6,7402
3lvr,19.6901,6.00789,6.00789,3.29128,0.624897,102,19.50,5.50,5.50,2.80,0.56,71,19650
3m0j,3.54996,3.54996,3.54967,1.91154,0.354151,70,3.30,3.10,2.50,1.85,0.34,27,18000
3m0k,3.64853,3.64853,3.39015,1.96137,0.37056,76,3.50,3.30,3.10,1.85,0.34,26,17544
3m7w,3.97734,3.75215,2.0166,2.09257,0.410024,243,3.90,3.70,1.70,2.08,0.41,247,46136
3mbm,10.4086,5.14089,5.14089,2.41314,0.488397,53,10.30,4.70,4.50,2.03,0.39,21,13836
3men,7.22012,4.11912,2.97683,2.15505,0.427128,196,6.70,3.70,2.50,2.02,0.39,251,42056
3mfw,9.35116,4.18523,4.18523,2.4107,0.48788,65,9.50,4.10,4.10,2.35,0.48,27,14346
3mia,22.2488,5.58187,5.58187,3.54855,0.652093,193,21.90,5.70,5.50,3.11,0.61,217,30048
3mib,6.76643,6.73807,6.73807,2.75811,0.552387,32,6.10,6.10,5.90,2.70,0.54,12,9596
3mif,7.69551,7.47012,7.47012,2.90615,0.575188,34,6.90,6.90,6.30,2.87,0.57,14,9672
3mig,6.57906,6.26202,6.26202,2.73249,0.548189,38,6.10,5.90,5.50,2.69,0.54,12,9640
3mlj,6.95974,6.79576,6.79576,2.82337,0.562732,40,6.50,6.50,6.10,2.78,0.56,13,9668
3mlk,7.23901,6.76863,6.76863,2.84322,0.565786,31,6.70,6.30,6.10,2.77,0.56,13,9552
3mmo,28.7445,28.7445,28.7445,4.86797,0.74639,645,27.70,27.70,27.70,5.16,0.76,3733,106920
3mqd,7.50143,7.50143,6.18909,2.36963,0.479004,48,7.10,7.10,5.70,2.25,0.45,19,12120
3mqf,8.4931,6.93448,6.93448,2.58169,0.521799,255,8.30,5.90,5.50,2.48,0.51,439,52776
3mrt,7.99331,7.2011,7.2011,2.55543,0.516884,253,7.70,5.90,5.30,2.46,0.50,407,52832
3mrv,8.23667,7.18915,7.18915,2.57809,0.52113,292,7.90,5.90,5.50,2.48,0.51,404,52832
3mrx,7.97994,7.05569,7.05569,2.54837,0.515546,278,7.70,5.90,5.10,2.46,0.50,399,52864
3ms2,8.04706,7.05382,7.05382,2.50933,0.508008,273,7.90,6.10,5.30,2.42,0.49,409,52864
3ms4,8.07041,7.14227,7.14227,2.59426,0.524116,283,7.90,6.30,5.30,2.50,0.51,420,52832
3ms7,8.58037,7.14746,7.14746,2.57957,0.521405,304,8.50,5.90,5.50,2.48,0.50,433,52776
3msc,8.08009,6.86629,6.86629,2.56981,0.519587,290,7.70,6.10,5.30,2.47,0.50,414,52832
3mt7,8.03306,7.24182,7.24182,2.5423,0.51439,291,7.90,5.90,5.30,2.45,0.50,412,52832
3mt8,8.07188,7.0618,7.0618,2.54181,0.514296,223,7.90,6.10,5.10,2.45,0.50,405,52832
3mt9,7.7662,7.04504,7.04504,2.54238,0.514405,267,7.50,5.90,5.30,2.45,0.50,412,52832
3mta,8.92806,7.00554,7.00554,2.5903,0.523388,272,8.70,6.10,5.50,2.49,0.51,427,52832
3mtb,8.14173,6.84859,6.84859,2.57748,0.521017,293,7.90,6.10,5.50,2.48,0.51,441,52888
3mtd,8.53421,7.13358,7.13358,2.56252,0.51822,289,8.50,5.90,5.30,2.47,0.50,405,52832
3muo,22.8103,8.31131,8.31131,3.22523,0.617216,140,22.50,8.90,8.90,3.19,0.62,179,32544
3n3g,18.2863,5.5188,5.5188,2.85716,0.567904,128,18.10,5.10,4.90,2.89,0.58,116,27320
3n7r,13.2818,11.3627,11.3627,3.78959,0.674221,77,12.50,11.10,11.10,3.14,0.61,101,22720
3nc4,8.66734,6.9359,6.9359,2.55359,0.516537,267,8.30,5.90,5.30,2.46,0.50,415,52832
3nhg,5.87069,5.56062,5.56062,2.57641,0.520818,131,5.50,5.10,5.10,2.58,0.53,119,32004
3njb,14.2483,14.2483,14.2483,3.23916,0.618862,475,13.90,13.90,13.90,2.85,0.57,2306,106584
3nnu,14.2492,5.64155,5.64155,3.10639,0.602571,39,13.70,5.50,5.50,3.05,0.60,21,11232
3nnv,14.5375,5.84452,5.84452,3.10425,0.602298,54,14.10,5.70,5.50,3.05,0.60,21,11232
3nnw,14.3364,5.72194,5.72194,3.09992,0.601742,54,13.90,5.30,5.10,3.05,0.60,20,11268
3nox,7.23059,6.85401,6.85401,2.69573,0.542028,314,7.70,7.10,7.10,2.64,0.53,423,48384
3np7,8.21207,7.03154,7.03154,2.56249,0.518215,283,7.90,5.90,5.30,2.47,0.50,332,52984
3np9,8.12497,6.89997,6.89997,2.5249,0.511043,250,7.90,5.70,5.10,2.43,0.49,333,52832
3npa,8.12109,7.19349,7.19349,2.57413,0.520393,259,7.90,5.90,5.30,2.48,0.50,336,52832
3o2k,3.75701,3.75701,3.75701,2.16248,0.429097,112,3.70,3.50,3.50,1.97,0.38,73,27816
3o3h,4.77101,4.49914,4.49914,2.29756,0.462661,34,4.70,4.10,3.30,2.29,0.48,11,8908
3o3n,7.45153,5.57435,4.65279,2.26805,0.455669,223,6.70,5.50,4.30,2.21,0.44,294,49116
3o6d,7.63956,7.63956,7.63956,2.70692,0.543921,158,7.30,7.30,5.70,2.72,0.55,138,32832
3o80,20.9614,5.97915,5.97915,3.31903,0.628034,134,20.90,5.50,4.50,3.21,0.62,154,29208
3obz,17.3482,3.38645,3.38645,3.11859,0.604126,58,16.70,3.30,3.10,3.10,0.60,31,13668
3oi7,9.33342,7.01369,6.71743,2.9939,0.587639,37,8.70,6.70,6.50,2.69,0.54,11,8392
3oib,5.79877,5.79877,5.37335,2.4765,0.501487,111,5.70,5.70,5.10,2.34,0.47,65,22908
3ol3,6.99071,5.92507,5.35887,2.83012,0.563776,22,6.50,5.50,5.10,2.53,0.51,5,5904
3or3,9.54563,9.54563,8.37492,2.72382,0.546751,122,9.10,9.10,8.10,2.49,0.51,93,24384
3ovx,18.1075,5.45908,5.45908,2.83782,0.564959,92,17.90,5.30,5.10,2.86,0.57,94,27280
3oy7,25.7797,4.27585,2.99493,3.58515,0.655644,254,25.70,4.10,3.10,3.39,0.64,432,49616
3ozk,8.11631,2.66678,2.2185,2.36318,0.477582,22,7.70,2.30,2.10,2.15,0.43,6,7088
3ozl,8.30061,2.655,2.4318,2.42363,0.490613,25,7.90,2.70,2.50,2.22,0.45,6,7156
3p0z,10.3721,4.82843,4.72718,2.4065,0.486987,53,9.90,4.70,4.10,2.02,0.39,19,13836
3p10,10.5195,5.04359,5.04359,2.36375,0.477708,57,10.30,4.70,4.30,2.03,0.39,20,14140
3p8v,4.01417,3.19293,2.91547,2.05238,0.398471,70,4.10,2.90,2.90,2.05,0.40,35,19256
3pfd,8.48402,7.85531,7.46713,2.50428,0.507018,94,8.50,7.30,7.10,2.35,0.48,58,22118
3pgj,3.42867,3.24715,3.24715,2.13853,0.422703,76,3.10,3.10,2.90,1.90,0.35,26,16522
3pm6,6.08228,5.99721,5.88847,2.52606,0.511267,30,5.70,5.70,5.50,2.28,0.46,9,8536
3pxq,2.46286,2.10268,2.10268,1.96038,0.370242,40,2.10,1.90,1.90,1.92,0.36,8,9596
3pxz,2.11773,1.97454,1.90687,1.95171,0.367444,40,1.90,1.90,1.70,1.93,0.36,8,9724
3py1,2.34278,2.30183,2.30183,1.9452,0.365324,45,2.10,2.10,1.70,1.93,0.36,9,9724
3q0t,7.94297,7.63995,7.63995,2.72895,0.547604,256,7.90,7.70,7.70,2.67,0.54,352,48384
3q3c,9.86521,9.86521,9.86521,2.53862,0.513685,147,9.50,9.30,9.30,2.58,0.52,90,25476
3q8h,10.6441,4.80853,4.34379,2.41,0.487732,56,10.30,4.50,3.70,2.04,0.40,20,13916
3qb5,13.2677,13.2677,12.7403,3.12494,0.604931,774,12.70,12.50,12.10,2.78,0.56,2249,84228
3qbk,16.6491,16.6491,9.87036,3.55162,0.652393,130,16.10,16.10,8.70,3.23,0.62,144,23816
3qbl,16.8055,16.8055,9.82287,3.53715,0.650971,133,16.10,16.10,8.70,3.21,0.62,140,23796
3qd5,5.25492,5.25492,4.83325,2.20735,0.440702,32,4.90,4.90,4.50,2.13,0.42,10,9624
3qhd,10.3663,4.66854,4.66854,2.39975,0.485544,52,9.90,4.30,4.30,2.05,0.40,22,14068
3qi3,21.9432,21.9432,21.9432,4.68736,0.736618,240,21.70,21.70,21.70,2.91,0.58,483,42960
3qmp,3.76271,3.76271,3.44117,2.03993,0.3948,57,3.50,3.50,3.10,2.04,0.40,25,16256
3qss,4.8829,3.79539,3.79539,2.07776,0.405817,41,3.90,3.50,3.10,2.08,0.41,13,12176
3qwh,6.71902,6.18308,3.74954,2.26629,0.455246,72,6.50,5.90,3.30,2.18,0.44,26,15686
3qwi,6.74219,6.39576,3.83477,2.28257,0.459133,74,6.50,6.10,3.50,2.20,0.44,27,15716
3qxc,3.1342,2.41026,2.36627,2.09207,0.409884,23,3.10,2.30,2.10,1.93,0.36,5,7036
3qxh,3.22514,2.50876,2.50876,2.08706,0.408465,25,2.90,2.50,2.30,1.92,0.36,5,7036
3qxj,3.2133,2.42079,2.42079,2.08589,0.408135,27,2.90,2.10,2.10,1.92,0.36,5,7036
3qxs,3.16981,2.35204,2.35204,2.09233,0.409956,25,2.90,2.10,2.10,1.93,0.36,5,7036
3qxx,3.2725,2.53012,2.48318,2.08971,0.409216,22,2.90,2.50,2.10,1.93,0.36,5,7036
3qy0,3.30351,2.47476,2.32318,2.06517,0.402196,24,2.70,2.30,2.10,1.90,0.36,5,7036
3r09,12.1672,11.4426,11.4426,3.68113,0.664623,95,11.50,11.10,10.90,3.55,0.65,95,18192
3r0u,16.0546,16.0546,16.0546,3.39367,0.636215,187,15.70,15.70,15.70,3.27,0.62,428,44840
3r10,15.8633,15.8633,15.8633,3.39401,0.636251,183,15.70,15.50,15.30,3.27,0.62,416,44840
3r11,16.0671,16.0671,16.0671,3.39173,0.636007,150,15.90,15.90,15.70,3.27,0.62,420,44840
3r5h,5.55802,5.28705,3.65978,2.37251,0.479636,107,5.70,4.90,3.50,2.31,0.47,69,23700
3r77,4.74892,4.56114,4.04843,2.1337,0.421396,35,4.30,4.30,3.70,2.10,0.41,15,12880
3r8a,10.4018,10.4018,5.66034,2.99708,0.588077,84,10.10,10.10,5.10,2.58,0.52,37,15648
3rch,18.2427,5.42144,5.42144,2.94732,0.581122,225,17.70,5.50,5.30,2.72,0.55,430,55872
3s4b,8.71108,6.12321,3.51124,2.34429,0.473371,117,8.30,5.70,5.50,2.34,0.48,81,25872
3s6l,17.1437,17.1437,17.1437,3.53251,0.650513,253,16.90,16.90,16.90,3.07,0.60,764,59304
3s8y,9.74389,7.82338,5.22158,2.69157,0.54132,141,9.50,7.30,4.70,2.67,0.54,11,8692
3s99,8.80897,5.65983,4.02035,2.34837,0.474288,66,7.90,6.30,3.90,2.17,0.43,48,20560
3sef,3.70957,3.18986,3.12895,2.30778,0.46504,76,3.70,3.50,3.10,2.01,0.39,28,16152
3sn0,5.5855,5.5855,5.5855,2.20289,0.439569,223,5.30,5.30,5.30,2.17,0.43,324,50768
3sn1,6.96983,6.96983,6.96983,2.24764,0.450728,226,6.70,6.70,6.30,2.18,0.44,316,50016
3sn4,6.94058,6.94058,6.94058,2.24014,0.448888,225,6.90,6.90,6.30,2.17,0.43,319,50016
3snn,6.24663,5.76958,5.76958,2.58464,0.522344,141,5.70,5.30,4.70,2.58,0.53,145,31980
3stu,6.82669,6.50489,6.00578,2.68595,0.540361,30,6.50,5.90,5.70,2.60,0.53,9,7938
3stv,5.47166,4.76097,3.56573,2.35805,0.476445,33,5.10,4.50,3.50,2.29,0.46,7,7950
3stw,7.24652,7.05368,6.17241,2.74479,0.550214,33,7.10,6.90,5.90,2.66,0.54,9,7938
3stx,5.23031,4.69287,4.15744,2.41686,0.489186,34,4.90,4.50,3.70,2.33,0.47,7,7888
3sww,8.20689,7.71125,7.71125,2.75328,0.551602,282,8.10,7.90,7.70,2.69,0.54,355,48384
3sx4,8.52781,8.19022,8.19022,2.75363,0.551657,282,8.10,8.10,8.10,2.70,0.54,357,48440
3sym,8.21942,7.08294,7.08294,2.56973,0.519573,255,8.10,6.10,5.70,2.46,0.50,339,52616
3syr,8.31722,7.13118,7.13118,2.57512,0.520579,264,8.30,5.90,5.70,2.47,0.50,336,52616
3t26,7.44875,3.70136,3.70136,2.3382,0.472001,21,7.30,3.70,3.50,2.34,0.47,5,6516
3t27,7.86975,3.76191,3.76191,2.37127,0.479365,23,7.70,3.70,3.70,2.37,0.48,5,6516
3t2h,17.2542,13.8794,13.8794,3.60828,0.657852,63,16.70,13.90,13.70,3.61,0.66,66,19456
3t2i,17.0054,13.6861,13.6861,3.57875,0.655028,65,16.70,13.50,13.50,3.58,0.66,66,19456
3t2j,16.5529,13.5464,13.5464,3.53801,0.651056,64,16.30,13.30,13.30,3.54,0.65,63,19456
3t3d,8.3905,6.72272,6.72272,2.56799,0.519247,277,8.30,5.90,5.30,2.47,0.50,331,52832
3t3e,7.83257,7.08891,7.08891,2.55352,0.516523,276,7.70,6.10,5.30,2.46,0.50,340,52832
3t3g,7.6664,7.13978,7.13978,2.59082,0.523484,269,7.70,5.70,5.50,2.48,0.51,337,52616
3t3h,7.69103,6.46968,6.46968,2.57431,0.520427,270,7.70,5.90,5.50,2.47,0.50,339,52616
3t3i,8.14479,7.30277,7.30277,2.57896,0.521293,288,7.90,6.10,5.30,2.48,0.51,336,52832
3t6c,10.0296,10.0296,7.08628,2.44063,0.494161,241,9.90,9.90,6.90,2.29,0.46,296,51632
3t9c,10.4715,4.92235,3.61659,2.74891,0.550888,47,10.50,4.70,3.50,2.71,0.55,14,10416
3t9d,10.7916,5.0099,4.02077,2.76289,0.55316,45,10.70,4.90,3.90,2.72,0.55,14,10416
3t9e,10.8355,5.08163,3.55318,2.73736,0.548994,43,10.50,4.90,3.30,2.70,0.54,14,10416
3t9f,10.7657,5.54405,3.79252,2.80794,0.56033,48,10.50,5.30,3.50,2.70,0.55,14,10188
3t9i,21.4921,4.8586,4.8586,3.39033,0.635856,73,21.10,5.10,4.90,2.86,0.57,34,13404
3tbc,25.0887,16.7915,16.7915,3.97772,0.689629,195,24.90,16.90,16.70,3.53,0.65,372,38526
3tfi,4.84943,4.29628,4.07691,2.28997,0.460881,56,4.30,4.10,3.50,2.29,0.46,16,11796
3th7,8.30092,4.39138,4.39138,2.42733,0.491388,58,8.50,4.50,4.10,2.37,0.48,27,14334
3the,6.29172,4.29344,4.29344,2.18856,0.435901,55,6.90,3.90,3.70,2.13,0.42,23,14334
3thj,9.24559,4.57142,4.57142,2.43006,0.491961,45,9.50,4.70,4.50,2.37,0.48,26,14334
3tj7,6.29355,5.56751,4.8266,2.65526,0.535049,50,6.10,5.10,5.10,2.44,0.50,17,11330
3tm4,9.26644,3.96641,3.6342,2.74549,0.550328,43,9.10,3.90,3.90,2.67,0.54,18,11560
3tm5,9.41403,4.12978,3.6681,2.71026,0.544483,51,9.30,3.90,3.50,2.66,0.54,18,11670
3tor,6.14972,4.90655,4.58445,2.49331,0.504848,258,5.90,5.70,4.30,2.57,0.52,555,58976
3tt4,4.57723,2.40864,2.12185,2.26092,0.453954,15,4.50,2.10,1.90,2.26,0.46,3,5012
3ttz,6.82005,3.38199,3.38199,2.31714,0.467201,62,6.50,3.30,3.10,2.23,0.45,16,12232
3u2d,6.31679,3.34212,3.34212,2.31081,0.465742,70,6.30,3.10,2.90,2.23,0.45,16,12268
3u2k,6.12231,4.03083,4.03083,2.31534,0.466787,68,5.90,3.50,3.10,2.22,0.45,16,12232
3uge,5.17228,5.08509,5.08509,2.35171,0.475033,71,5.10,4.90,4.90,2.35,0.48,27,15584
3uib,7.06556,7.06556,7.06556,3.01418,0.590414,120,6.70,6.70,6.70,2.59,0.53,55,20048
3upb,7.20412,6.97045,4.15373,2.40323,0.486288,91,6.70,6.50,4.10,2.17,0.43,44,19492
3uwn,12.1131,9.0541,7.56471,3.28619,0.624316,44,12.10,8.70,7.30,3.17,0.61,16,10296
3v0h,5.36842,4.20271,3.02477,2.37711,0.480642,32,5.10,3.90,2.50,2.29,0.46,13,10532
3vey,11.1556,8.57242,8.57242,3.0147,0.590484,242,10.90,8.50,8.50,2.97,0.59,470,42060
3vhb,8.95633,5.29712,5.29712,2.63689,0.531809,18,8.70,4.90,1.70,2.42,0.49,3,4084
3ws0,4.05908,3.0977,3.0977,2.25529,0.45259,123,3.70,3.30,3.30,2.19,0.44,72,24342
3ws1,3.79373,3.0897,3.0897,2.2141,0.442406,104,3.70,3.30,3.30,2.17,0.43,73,24558
3ws2,3.84908,3.25834,3.25834,2.22636,0.445476,112,3.50,3.30,3.10,2.18,0.44,72,24558
3ws4,3.79393,3.06232,3.06232,2.23982,0.448809,123,3.70,3.30,3.30,2.18,0.44,73,24405
3ws5,3.85246,2.92301,2.92301,2.18612,0.435271,124,3.90,3.30,3.10,2.13,0.42,68,24384
3wzm,9.04676,9.04676,9.04676,2.97901,0.585577,536,8.90,8.70,8.50,2.81,0.56,961,72756
3yas,9.48231,7.05566,6.53835,2.78895,0.557335,76,9.30,6.50,6.30,2.77,0.56,39,16456
3zc7,5.14557,5.14557,4.46041,2.21925,0.4437,40,4.70,4.30,4.30,1.83,0.33,9,8624
3zhb,23.5389,16.9695,16.9695,4.25968,0.710174,203,23.30,16.30,15.90,3.95,0.69,232,33004
3zme,7.8794,5.93638,3.4346,2.76474,0.55346,50,7.70,5.90,3.30,2.48,0.51,21,12300
3znb,4.89082,3.46361,3.46361,2.18053,0.433822,127,4.50,3.50,3.30,2.13,0.42,84,27744
3zqe,12.7705,7.10167,5.27481,3.087,0.600075,89,12.70,6.30,5.30,2.67,0.54,46,16128
3zud,5.32301,4.6084,3.65933,2.21032,0.441453,11,4.50,4.50,3.70,2.23,0.45,2,3476
3zzf,6.66099,6.14371,6.14371,2.57689,0.520909,211,6.30,5.90,5.10,2.43,0.49,221,36032
4a3h,6.18289,4.97891,4.97891,2.18165,0.434113,26,5.90,4.70,4.50,2.16,0.43,9,9508
4a7i,6.14731,5.3105,5.3105,2.44309,0.494669,34,5.70,5.10,4.90,2.01,0.39,10,8988
4a7y,6.41498,4.90254,4.55646,2.759,0.552531,131,5.90,4.70,4.50,2.69,0.54,92,27184
4ag3,7.05089,6.37908,3.65209,2.48951,0.504091,121,6.50,6.30,3.50,2.28,0.46,94,28944
4agl,8.17052,6.16536,3.53984,2.7848,0.556677,41,8.10,5.90,3.30,2.50,0.51,21,12288
4agm,7.84311,6.02677,3.57178,2.73277,0.548235,49,7.50,5.90,3.30,2.47,0.50,20,12396
4agn,7.86674,5.12072,3.73694,2.74465,0.550191,49,7.70,5.10,3.30,2.48,0.50,20,12360
4ago,8.04952,6.10127,3.59302,2.765,0.553502,48,7.70,6.10,3.50,2.48,0.50,21,12280
4agp,7.79876,6.04186,3.65574,2.75352,0.551639,45,7.50,5.90,3.50,2.48,0.50,20,12324
4agq,7.71193,6.06561,3.63713,2.7714,0.554533,45,7.30,5.90,3.50,2.48,0.50,20,12244
